date,description,category,type,amount
2026-03-01,Monthly Salary,Salary,income,65000.0
2026-03-01,Vegetables from market,Groceries,expense,1905.57
2026-03-01,Vegetables from market,Groceries,expense,415.5
2026-03-01,Metro recharge,Transport,expense,116.14
2026-03-02,Lab tests,Healthcare,expense,1779.62
2026-03-02,Electricity bill,Utilities,expense,660.98
2026-03-02,Doctor visit,Healthcare,expense,245.41
2026-03-02,Udemy course,Education,expense,4811.74
2026-03-03,Haircut,Personal Care,expense,1045.3
2026-03-03,Auto rickshaw,Transport,expense,326.27
2026-03-03,Ola ride,Transport,expense,593.57
2026-03-04,Ola ride,Transport,expense,220.89
2026-03-04,Uber to office,Transport,expense,256.0
2026-03-04,BigBasket order,Groceries,expense,1756.41
2026-03-04,Zomato delivery,Food & Dining,expense,390.4
2026-03-04,Metro recharge,Transport,expense,700.3
2026-03-05,Monthly Rent,Rent,expense,12000.0
2026-03-05,Petrol,Transport,expense,128.86
2026-03-05,Dinner at restaurant,Food & Dining,expense,568.59
2026-03-05,Swiggy order,Food & Dining,expense,1068.1
2026-03-05,Train tickets,Travel,expense,14065.63
2026-03-06,Zomato delivery,Food & Dining,expense,1114.87
2026-03-06,Phone recharge,Utilities,expense,1337.96
2026-03-06,Wedding gift,Gifts & Donations,expense,2471.83
2026-03-08,Amazon Prime,Subscriptions,expense,339.05
2026-03-09,Chai and snacks,Food & Dining,expense,1980.09
2026-03-09,BigBasket order,Groceries,expense,2061.69
2026-03-10,Uber to office,Transport,expense,214.38
2026-03-11,Milk and bread,Groceries,expense,435.08
2026-03-11,Uber to office,Transport,expense,84.56
2026-03-12,Coffee at Starbucks,Food & Dining,expense,409.04
2026-03-12,BigBasket order,Groceries,expense,1588.57
2026-03-12,Reliance Digital,Shopping,expense,2233.18
2026-03-13,Chai and snacks,Food & Dining,expense,1780.9
2026-03-13,Coffee at Starbucks,Food & Dining,expense,249.72
2026-03-15,Amazon Prime,Subscriptions,expense,384.56
2026-03-15,Movie tickets,Entertainment,expense,296.26
2026-03-17,Petrol,Transport,expense,701.77
2026-03-18,Uber to office,Transport,expense,207.19
2026-03-18,Netflix subscription,Entertainment,expense,237.07
2026-03-18,Milk and bread,Groceries,expense,657.33
2026-03-18,Reliance Digital,Shopping,expense,835.1
2026-03-18,Ola ride,Transport,expense,692.8
2026-03-19,Coffee at Starbucks,Food & Dining,expense,1765.1
2026-03-19,Dinner at restaurant,Food & Dining,expense,914.02
2026-03-19,Amazon Prime,Subscriptions,expense,996.49
2026-03-19,Haircut,Personal Care,expense,444.7
2026-03-20,Metro recharge,Transport,expense,183.16
2026-03-21,Ola ride,Transport,expense,75.33
2026-03-22,Amazon order,Shopping,expense,3336.59
2026-03-22,Coffee at Starbucks,Food & Dining,expense,533.01
2026-03-22,Pharmacy,Healthcare,expense,2183.38
2026-03-22,Swiggy order,Food & Dining,expense,716.14
2026-03-22,Freelance project,Freelance,income,6553.8
2026-03-22,Metro recharge,Transport,expense,711.29
2026-03-22,Skincare products,Personal Care,expense,917.14
2026-03-22,Petrol,Transport,expense,530.41
2026-03-23,Chai and snacks,Food & Dining,expense,1879.64
2026-03-23,D-Mart groceries,Groceries,expense,1172.01
2026-03-24,Auto rickshaw,Transport,expense,232.81
2026-03-25,Ola ride,Transport,expense,740.27
2026-03-25,Uber to office,Transport,expense,592.05
2026-03-26,Coffee at Starbucks,Food & Dining,expense,699.36
2026-03-26,Amazon order,Shopping,expense,2153.89
2026-03-26,Movie tickets,Entertainment,expense,1306.34
2026-03-26,Internet bill,Utilities,expense,2398.36
2026-03-28,Coffee at Starbucks,Food & Dining,expense,291.9
2026-03-28,Zomato delivery,Food & Dining,expense,787.11
2026-03-28,Gaming,Entertainment,expense,1392.57
2026-04-01,Monthly Salary,Salary,income,65000.0
2026-04-01,Term insurance,Insurance,expense,4618.22
2026-04-01,Coffee at Starbucks,Food & Dining,expense,335.11
2026-04-01,Gaming,Entertainment,expense,228.4
2026-04-01,Lunch at office canteen,Food & Dining,expense,197.2
2026-04-01,Vegetables from market,Groceries,expense,1015.54
2026-04-02,Internet bill,Utilities,expense,974.86
2026-04-02,Doctor visit,Healthcare,expense,3149.72
2026-04-02,Lunch at office canteen,Food & Dining,expense,321.26
2026-04-03,iCloud storage,Subscriptions,expense,664.53
2026-04-03,Vegetables from market,Groceries,expense,2492.3
2026-04-03,Chai and snacks,Food & Dining,expense,1013.56
2026-04-05,Monthly Rent,Rent,expense,12000.0
2026-04-05,Vegetables from market,Groceries,expense,867.72
2026-04-06,Auto rickshaw,Transport,expense,681.62
2026-04-06,D-Mart groceries,Groceries,expense,1988.8
2026-04-07,Lab tests,Healthcare,expense,2660.45
2026-04-07,Lunch at office canteen,Food & Dining,expense,1734.09
2026-04-08,Ola ride,Transport,expense,773.27
2026-04-08,Zomato delivery,Food & Dining,expense,1447.23
2026-04-10,Chai and snacks,Food & Dining,expense,1116.71
2026-04-10,BigBasket order,Groceries,expense,1090.63
2026-04-11,Reliance Digital,Shopping,expense,2944.76
2026-04-11,Dinner at restaurant,Food & Dining,expense,975.61
2026-04-11,Ola ride,Transport,expense,753.51
2026-04-11,Phone recharge,Utilities,expense,2448.02
2026-04-11,Chai and snacks,Food & Dining,expense,1348.2
2026-04-12,Vegetables from market,Groceries,expense,1616.76
2026-04-13,Swiggy order,Food & Dining,expense,1198.13
2026-04-13,Reliance Digital,Shopping,expense,4511.38
2026-04-13,Zomato delivery,Food & Dining,expense,1456.25
2026-04-13,Swiggy order,Food & Dining,expense,759.88
2026-04-13,Gaming,Entertainment,expense,1169.55
2026-04-14,Electricity bill,Utilities,expense,951.68
