date,description,amount,type,category
2026-03-20,College semester fees,1400.63,expense,Education
2026-03-20,Netflix subscription,879.66,expense,Entertainment
2026-03-21,Biryani order,379.52,expense,Food
2026-03-22,Hotstar subscription,1046.86,expense,Entertainment
2026-03-23,Mobile recharge - Airtel,880.26,expense,Bills & Utilities
2026-03-24,Biryani order,332.29,expense,Food
2026-03-26,Myntra clothes,4424.87,expense,Shopping
2026-03-26,Exam registration fee,4869.34,expense,Education
2026-03-27,Cab to airport,650.23,expense,Transport
2026-03-28,Campus canteen lunch,116.62,expense,Food
2026-03-30,Photocopy and binding,206.86,expense,Other
2026-03-31,Gym membership,2158.03,expense,Health
2026-03-31,Train ticket booking,1249.14,expense,Transport
2026-03-31,Gift money - birthday,11857.62,income,Income
2026-04-02,Health insurance premium,1321.64,expense,Health
2026-04-02,Miscellaneous expense,1815.41,expense,Other
2026-04-02,Photocopy and binding,714.38,expense,Other
2026-04-03,Water bill,2130.7,expense,Bills & Utilities
2026-04-04,Biryani order,678.02,expense,Food
2026-04-04,Printing and Xerox,4592.17,expense,Education
2026-04-05,Bowling with friends,225.5,expense,Entertainment
2026-04-06,Ola cab,1105.9,expense,Transport
2026-04-06,Movie tickets - PVR,1126.59,expense,Entertainment
2026-04-06,Grocery - BigBasket,248.35,expense,Food
2026-04-07,Bowling with friends,447.79,expense,Entertainment
2026-04-08,Salon haircut,1755.25,expense,Other
2026-04-08,Lab equipment purchase,176.39,expense,Education
2026-04-09,Amazon purchase,4809.78,expense,Shopping
2026-04-14,Hotstar subscription,756.47,expense,Entertainment
2026-04-16,Amazon purchase,4479.4,expense,Shopping
2026-04-16,Auto fare,1448.14,expense,Transport
2026-04-17,Bank service charge,1523.78,expense,Other
2026-04-18,Udemy course purchase,1875.14,expense,Education
2026-04-19,Spotify premium,1193.31,expense,Entertainment
2026-04-20,Dental checkup,2040.65,expense,Health
2026-04-20,ATM cash withdrawal,1136.94,expense,Other
2026-04-21,Textbook purchase,6739.99,expense,Education
2026-04-21,Biryani order,188.0,expense,Food
2026-04-21,Netflix subscription,878.82,expense,Entertainment
2026-04-21,Scholarship credit,14507.54,income,Income
2026-04-23,Spotify premium,1132.82,expense,Entertainment
2026-04-23,Zomato order,599.91,expense,Food
2026-04-23,Internship stipend,11448.1,income,Income
2026-04-24,Gym membership,2992.38,expense,Health
2026-04-25,Mobile recharge - Airtel,2284.77,expense,Bills & Utilities
2026-04-26,Amazon Prime subscription,987.22,expense,Entertainment
2026-04-26,Part-time tutoring payment,7395.01,income,Income
2026-04-27,Gift money - birthday,12490.47,income,Income
2026-04-28,Hotstar subscription,769.87,expense,Entertainment
2026-04-28,Bank service charge,1313.03,expense,Other
2026-04-28,Gift money - birthday,10166.94,income,Income
2026-04-29,Doctor consultation fee,986.48,expense,Health
2026-04-29,Lab equipment purchase,3622.72,expense,Education
2026-05-01,Miscellaneous expense,1545.45,expense,Other
2026-05-02,Spotify premium,770.04,expense,Entertainment
2026-05-02,Laundry service,1261.99,expense,Bills & Utilities
2026-05-04,DTH recharge,684.59,expense,Bills & Utilities
2026-05-07,Train ticket booking,1352.27,expense,Transport
2026-05-07,Hotstar subscription,111.17,expense,Entertainment
2026-05-10,Swiggy order,857.67,expense,Food
2026-05-11,Diagnostic lab test,1334.96,expense,Health
2026-05-11,Photocopy and binding,1531.98,expense,Other
2026-05-12,Hospital visit,1205.02,expense,Health
2026-05-12,Shoes - Decathlon,1516.52,expense,Shopping
2026-05-12,Pharmacy - medicines,2711.94,expense,Health
2026-05-13,Stationery shopping,2505.36,expense,Shopping
2026-05-14,Donation,420.3,expense,Other
2026-05-14,Bank service charge,1149.74,expense,Other
2026-05-15,ATM cash withdrawal,231.45,expense,Other
2026-05-17,Protein supplement,2488.53,expense,Health
2026-05-18,DTH recharge,2465.27,expense,Bills & Utilities
2026-05-18,Miscellaneous expense,647.91,expense,Other
2026-05-18,Bowling with friends,178.3,expense,Entertainment
2026-05-18,Part-time tutoring payment,9005.17,income,Income
2026-05-19,Zomato order,838.15,expense,Food
2026-05-19,Textbook purchase,7413.53,expense,Education
2026-05-19,Doctor consultation fee,2482.51,expense,Health
2026-05-20,Hotstar subscription,633.06,expense,Entertainment
2026-05-21,Uber ride,1120.08,expense,Transport
2026-05-21,Gas cylinder booking,1311.79,expense,Bills & Utilities
2026-05-21,Printing and Xerox,2646.21,expense,Education
2026-05-21,Metro card recharge,1326.0,expense,Transport
2026-05-22,Donation,566.52,expense,Other
2026-05-22,Photocopy and binding,555.42,expense,Other
2026-05-23,Dinner with friends,133.97,expense,Food
2026-05-25,Pharmacy - medicines,478.72,expense,Health
2026-05-26,ATM cash withdrawal,1909.94,expense,Other
2026-05-26,Gym membership,2109.37,expense,Health
2026-05-26,Electronics - USB cable,4818.29,expense,Shopping
2026-05-26,Petrol - bike,949.51,expense,Transport
2026-05-26,Monthly allowance from home,7572.87,income,Income
2026-05-28,Mobile recharge - Airtel,1236.31,expense,Bills & Utilities
2026-05-30,Coaching class fees,3648.75,expense,Education
2026-05-30,Doctor consultation fee,1615.34,expense,Health
2026-05-30,Donation,872.67,expense,Other
2026-05-30,Protein supplement,2613.41,expense,Health
2026-05-31,Freelance project payment,12487.69,income,Income
2026-06-01,Bowling with friends,185.23,expense,Entertainment
2026-06-01,Miscellaneous expense,113.65,expense,Other
2026-06-01,Hotstar subscription,244.11,expense,Entertainment
2026-06-02,Scholarship credit,14057.14,income,Income
2026-06-03,Train ticket booking,145.84,expense,Transport
2026-06-05,Mobile recharge - Jio,1788.4,expense,Bills & Utilities
2026-06-06,Bus pass,1321.72,expense,Transport
2026-06-06,Stationery shopping,768.11,expense,Shopping
2026-06-06,Uber ride,273.91,expense,Transport
2026-06-08,Protein supplement,732.14,expense,Health
2026-06-12,Internship stipend,14514.95,income,Income
